chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,mfcc,Genre
0.450630363,3295.793673,2743.70661,6634.178537,0.20705791,0.159197811,3.533837192,Fuji
0.404948899,3098.680171,2657.159691,6268.231018,0.17118698,0.140667786,1.99705914,Fuji
0.375807495,3291.535269,2704.093204,6582.37388,0.23208347,0.154716854,2.690791191,Fuji
0.394169452,3099.266253,2576.294036,6173.725535,0.18378529,0.157640752,1.266842984,Fuji
0.408716969,3305.515165,2722.979959,6596.260651,0.22670695,0.155967765,2.11498866,Fuji
0.34945795,1648.179316,1260.149134,3102.260502,0.112838104,0.114064558,-5.226428794,Fuji
0.424442466,3652.131705,2846.031873,7100.437182,0.18198381,0.1796875,1.599143842,Fuji
0.436943211,3307.143843,2740.248742,6647.89881,0.22894458,0.164755695,3.654699689,Fuji
0.42272177,3087.440992,2739.706504,6420.560856,0.24048212,0.127937103,4.260129423,Fuji
0.464712559,3069.798462,2664.456766,6267.806687,0.21362936,0.138322655,3.905063169,Fuji
0.426230243,3337.760776,2640.239265,6550.585063,0.21722071,0.183582773,1.869820475,Fuji
0.423535936,3249.019492,2747.471599,6594.340238,0.20139684,0.148637728,2.791276098,Fuji
0.434226856,3047.20942,2704.279222,6327.301948,0.22498745,0.13027937,3.951427655,Fuji
0.397978647,3417.457441,2682.523149,6646.686619,0.19371133,0.190955779,-0.477981654,Fuji
0.467042866,3317.703795,2805.550885,6756.899009,0.18238707,0.153580404,3.232313477,Fuji
0.421806238,2827.605737,2558.586885,5890.133791,0.20406711,0.117765856,3.754208745,Fuji
0.413192924,3191.742946,2588.574064,6187.321259,0.17376272,0.173701989,0.957526772,Fuji
0.460180486,3184.663053,2767.954723,6596.842902,0.21772632,0.143807976,3.197845496,Fuji
0.370337046,3081.274919,2607.870462,6197.896175,0.15945192,0.145830991,0.716485329,Fuji
0.388182416,2970.425801,2531.843302,5952.871383,0.25838605,0.152893207,4.127507218,Fuji
0.39709331,3384.305925,2673.142506,6496.314355,0.17205924,0.183274474,0.500468386,Fuji
0.45243687,3282.909903,2739.897612,6612.653821,0.20205434,0.153053944,2.346530022,Fuji
0.392160716,3212.545577,2629.887478,6259.526578,0.16156292,0.175002966,0.73315368,Fuji
0.442915561,3084.49685,2765.115908,6490.188709,0.2190201,0.128162082,3.985616954,Fuji
0.449431931,3563.708644,2958.089404,7263.782181,0.19524959,0.166344158,2.802092385,Fuji
0.440785184,3687.068299,2939.106551,7346.322859,0.19779906,0.182914059,3.036275635,Fuji
0.436164848,3613.366801,2905.741974,7195.755748,0.205441,0.176916115,2.703262848,Fuji
0.463471356,3711.447822,2943.415724,7336.021814,0.18681222,0.191396917,2.943555418,Fuji
0.467238155,3585.754093,2938.810088,7266.122063,0.18060447,0.175747683,3.300533372,Fuji
